"Word","Length","Freq_HAL","Log_Freq_HAL"
"abstractive","11","7","1.95"
"abstractly","10","143","4.96"
"abstractors","11","0","0.00"
"abstracts","9","4089","8.32"
"abstruse","8","157","5.06"
"absurd","6","4985","8.51"
"absurdities","11","300","5.70"
"absurdity","9","1084","6.99"
"absurdly","8","316","5.76"
"abundance","9","1825","7.51"
"abundant","8","1381","7.23"
"abuse","5","25915","10.16"
"abused","6","6038","8.71"
"abuses","6","3312","8.11"
"abusive","7","3526","8.17"
"abut","4","259","5.56"
"abutment","8","19","2.94"
"abutments","9","18","2.89"
"abysmal","7","619","6.43"
"abyss","5","4219","8.35"
"acacia","6","213","5.36"
"academic","8","17622","9.78"
"academically","12","725","6.59"
"academicianship","15","1","0.00"
"academics","9","1817","7.50"
"academies","9","967","6.87"
"academy","7","12050","9.40"
"Acadia","6","305","5.72"
"Acapulco","8","180","5.19"
"accede","6","149","5.00"
"acceded","7","62","4.13"
"accent","6","5213","8.56"
"accelerando","11","7","1.95"
"accelerate","10","2368","7.77"
"accelerated","11","3367","8.12"
"accelerating","12","1037","6.94"
"acceleration","12","4203","8.34"
"accelerations","13","169","5.13"
"accelerator","11","5152","8.55"
"accelerators","12","1466","7.29"
"accelerometer","13","70","4.25"
"accelerometers","14","63","4.14"
"accented","8","1182","7.07"
"accenting","9","54","3.99"
"accents","7","1796","7.49"
"accentual","9","1","0.00"
"accentuate","10","161","5.08"
"accentuated","11","193","5.26"
"accentuates","11","57","4.04"
"accept","6","49430","10.81"
"accolade","8","703","6.56"
"acceptable","10","16372","9.70"
"acceptance","10","8774","9.08"
"accepted","8","33901","10.43"
"accepting","9","7649","8.94"
"accepts","7","4586","8.43"
"access","6","172256","12.06"
"accesses","8","2369","7.77"
"accessible","10","10758","9.28"
"accessions","10","48","3.87"
"accessories","11","5737","8.65"
"accessors","9","173","5.15"
"accessory","9","1342","7.20"
"accident","8","11152","9.32"
"accidental","10","2346","7.76"
"accidents","9","4163","8.33"
"acclaim","7","889","6.79"
"accidentally","12","4432","8.40"
"acclaimed","9","1049","6.96"
"acclaims","8","7","1.95"
"acclimate","9","97","4.57"
"acclamation","11","26","3.26"
"acclimatized","12","17","2.83"
"accolades","9","227","5.42"
"accommodate","11","2454","7.81"
"accommodated","12","301","5.71"
"accommodates","12","136","4.91"
"accommodating","13","447","6.10"
"accommodation","13","2006","7.60"
"accommodations","14","1434","7.27"
"accompanied","11","4441","8.40"
"accompanies","11","722","6.58"
"accompaniment","13","711","6.57"
"accompaniments","14","36","3.58"
"accompanist","11","156","5.05"
"accompanists","12","73","4.29"
"accompany","9","2138","7.67"
"acorns","6","359","5.88"
"acoustic","8","5401","8.59"
"acoustical","10","270","5.60"
"acoustics","9","1240","7.12"
"accompanying","12","2991","8.00"
"accomplice","10","281","5.64"
"accomplices","11","220","5.39"
"accomplish","10","7794","8.96"
"accomplished","12","6982","8.85"
"accomplishes","12","592","6.38"
"accomplishing","13","704","6.56"
"accomplishment","14","1301","7.17"
"accomplishments","15","1990","7.60"
"accord","6","3524","8.17"
"accordance","10","4854","8.49"
"accorded","8","563","6.33"
"according","9","64745","11.08"
"accordingly","11","5108","8.54"
"accordion","9","590","6.38"
"accords","7","974","6.88"
"accost","6","31","3.43"
"accosted","8","168","5.12"
"accosting","9","24","3.18"
"account","7","60958","11.02"
"accountable","11","2339","7.76"
"accountant","10","1527","7.33"
"accountability","14","1478","7.30"
"accountants","11","1506","7.32"
"accounted","9","1502","7.31"
"accounting","10","15754","9.66"
"accounts","8","18019","9.80"
"accredit","8","35","3.56"
"accreditation","13","561","6.33"
"accredited","10","1049","6.96"
"accrue","6","611","6.42"
"accrued","7","230","5.44"
"accrues","7","63","4.14"
"accruing","8","155","5.04"
"acculturated","12","24","3.18"
"acculturation","13","35","3.56"
"accumulate","10","1392","7.24"
"accumulates","11","249","5.52"
"ached","5","296","5.69"
"aches","5","419","6.04"
"accumulated","11","2137","7.67"
"accumulating","12","553","6.32"
"achieve","7","15544","9.65"
"achieved","8","8305","9.02"
"accumulation","12","1206","7.10"
"accuracy","8","10534","9.26"
"accurate","8","21492","9.98"
"accurately","10","5396","8.59"
"accurst","7","4","1.39"
"accusation","10","2176","7.69"
"accusations","11","3477","8.15"
"accusative","10","103","4.63"
"accuse","6","3798","8.24"
"accused","7","9093","9.12"
"accuses","7","809","6.70"
"accusing","8","2296","7.74"
"accusingly","10","39","3.66"
"accustom","8","75","4.32"
"acolyte","7","444","6.10"
"acorn","5","8301","9.02"
"accustomed","10","1691","7.43"
"ace","3","6967","8.85"
"acerbic","7","76","4.33"
"aces","4","1837","7.52"
"acetate","7","547","6.30"
"acetone","7","423","6.05"
"acetylene","9","82","4.41"
"ache","4","846","6.74"
"achievement","11","3925","8.28"
"achievements","12","2085","7.64"
"achieves","8","762","6.64"
"achieving","9","3180","8.06"
"Achilles","8","688","6.53"
"aching","6","1099","7.00"
"acid","4","13610","9.52"
"acidic","6","809","6.70"
"acidity","7","256","5.55"
"acids","5","2326","7.75"
"acknowledges","12","1067","6.97"
"acme","4","911","6.81"
"acne","4","536","6.28"
"acknowledge","11","6783","8.82"
"acknowledged","12","3936","8.28"
"acknowledgement","15","1823","7.51"
"acknowledging","13","1216","7.10"
"acknowledgment","14","948","6.85"
"acknowledgments","15","409","6.01"
"acoustically","12","157","5.06"
"acquaint","8","167","5.12"
"acquaintance","12","1275","7.15"
"acquainted","10","1022","6.93"
"acquiesce","9","108","4.68"
"acquiesced","10","111","4.71"
"acquiescence","12","91","4.51"
"acquiescent","11","19","2.94"
"acquire","7","6529","8.78"
"acquired","8","6388","8.76"
"acquires","8","460","6.13"
"acquiring","9","1952","7.58"
"acrylic","7","844","6.74"
"act","3","72216","11.19"
"acquisition","11","5006","8.52"
"acquisitions","12","1098","7.00"
"acquisitive","11","40","3.69"
"acquit","6","100","4.61"
"acquittal","9","249","5.52"
"acquitted","9","608","6.41"
"acre","4","1554","7.35"
"acquisitiveness","15","4","1.39"
"acreage","7","231","5.44"
"acres","5","3930","8.28"
"acrid","5","111","4.71"
"acrimonious","11","113","4.73"
"acrimony","8","89","4.49"
"acrobat","7","2449","7.80"
"acrobatic","9","167","5.12"
"acrobatics","10","401","5.99"
"acrobats","8","66","4.19"
"acronym","7","1966","7.58"
"Acropolis","9","109","4.69"
"across","6","62336","11.04"
"acted","5","4894","8.50"
"acting","6","16012","9.68"
"action","6","77756","11.26"
"actions","7","29726","10.30"
"activate","8","3486","8.16"
"activated","9","3246","8.09"
"activating","10","655","6.48"
"activation","10","1918","7.56"
"active","6","35565","10.48"
"actively","8","7101","8.87"
"activism","8","1558","7.35"
"activist","8","3525","8.17"
"activities","10","32765","10.40"
"activity","8","26484","10.18"
"actor","5","10471","9.26"
"actors","6","7249","8.89"
"actor's","7","363","5.89"
"actress","7","4996","8.52"
"actresses","9","1663","7.42"
"acts","4","19423","9.87"
"actual","6","40919","10.62"
"actualities","11","38","3.64"
"actuality","9","950","6.86"
"actually","8","196457","12.19"
"actuary","7","49","3.89"
"acuity","6","228","5.43"
"acupuncture","11","525","6.26"
"acute","5","2427","7.79"
"acutely","7","332","5.81"
"acuteness","9","19","2.94"
"ad","2","43254","10.67"
"Ada","3","15432","9.64"
"adage","5","503","6.22"
"Adam","4","19626","9.88"
"adamant","7","624","6.44"
"adamantly","9","329","5.80"
"zoologist","9","301","5.71"
"zoology","7","707","6.56"
"zoom","4","4920","8.50"
"zooming","7","523","6.26"
"zooms","5","385","5.95"
"zucchini","8","314","5.75"
"Zurich","6","1770","7.48"
"won","3","27563","10.22"
"wonder","6","51799","10.86"
"wondered","8","9133","9.12"
"wonderful","9","31958","10.37"
"wonderfully","11","2286","7.73"
"wonderfulness","13","50","3.91"
"wondering","9","41742","10.64"
"wonderingly","11","17","2.83"
"wonderland","10","965","6.87"
"wonders","7","4983","8.51"
"wondrous","8","573","6.35"
"wondrously","10","35","3.56"
"wont","4","5408","8.60"
"won't","5","112554","11.63"
"woo","3","1986","7.59"
"wood","4","24035","10.09"
"woodbine","8","64","4.16"
"woodblock","9","20","3.00"
"woodcarver","10","28","3.33"
"woodcock","8","511","6.24"
"woodcraft","9","92","4.52"
"woodcut","7","22","3.09"
"woodcutter","10","18","2.89"
"woodcutters","11","4","1.39"
"wooded","6","462","6.14"
"wooden","6","8164","9.01"
"woodgraining","12","0","0.00"
"woodland","8","926","6.83"
"woodman","7","138","4.93"
"woodpecker","10","368","5.91"
"woodpile","8","27","3.30"
"Woodrow","7","433","6.07"
"woods","5","9313","9.14"
"woodshed","8","63","4.14"
"woodsman","8","93","4.53"
"Woodward","8","1373","7.22"
"woodwind","8","281","5.64"
"woodwork","8","464","6.14"
"woodworm","8","15","2.71"
"woody","5","3061","8.03"
"woodyard","8","6","1.79"
"woodworking","11","871","6.77"
"wooed","5","47","3.85"
"woof","4","954","6.86"
"wool","4","2066","7.63"
"woolen","6","110","4.70"
"woollen","7","51","3.93"
"woolly","6","448","6.10"
"woolworkers","11","0","0.00"
"Woolworth's","11","69","4.23"
"woozy","5","71","4.26"
"Worcester","9","1692","7.43"
"word","4","138155","11.84"
"worded","6","1046","6.95"
"wording","7","3360","8.12"
"wordless","8","110","4.70"
"wordplay","8","119","4.78"
"words","5","99249","11.51"
"Wordsworth","10","206","5.33"
"wordy","5","267","5.59"
"wore","4","5574","8.63"
"work","4","451298","13.02"
"workable","8","1678","7.43"
"workbag","7","0","0.00"
"workbasket","10","8","2.08"
"workbench","9","2804","7.94"
"workbook","8","558","6.32"
"workday","7","137","4.92"
"worked","6","59752","11.00"
"worker","6","7057","8.86"
"workers","7","18819","9.84"
"worker's","8","484","6.18"
"workhorse","9","220","5.39"
"workhouse","9","14","2.64"
"working","7","134669","11.81"
"workingmen","10","24","3.18"
"workings","8","1486","7.30"
"workman","7","568","6.34"
"workman's","9","79","4.37"
"workmanship","11","395","5.98"
"workmen","7","96","4.56"
"workout","7","2588","7.86"
"workouts","8","683","6.53"
"workpeople","10","1","0.00"
"workpiece","9","61","4.11"
"workroom","8","32","3.47"
"works","5","139173","11.84"
"work's","6","126","4.84"
"worksheet","9","421","6.04"
"workshop","8","15377","9.64"
"workshops","9","5362","8.59"
"worktable","9","8","2.08"
"world","5","295523","12.60"
"worldly","7","1134","7.03"
"worlds","6","11180","9.32"
"world's","7","12764","9.45"
"worldshaking","12","0","0.00"
"worldwide","9","18597","9.83"
"worm","4","4110","8.32"
"wormhole","8","2001","7.60"
"worms","5","5342","8.58"
"wormwood","8","1187","7.08"
"wormy","5","58","4.06"
"worn","4","8275","9.02"
"wornout","7","13","2.56"
"worried","7","10980","9.30"
"worriedly","9","52","3.95"
"worries","7","2478","7.82"
"worrisome","9","236","5.46"
"worry","5","27060","10.21"
"worrying","8","3092","8.04"
"worse","5","34812","10.46"
"worsen","6","400","5.99"
"worsened","8","334","5.81"
"worsens","7","111","4.71"
"worship","7","9668","9.18"
"worshiped","9","331","5.80"
"worshipful","10","82","4.41"
"worshiping","10","508","6.23"
"worshipped","10","959","6.87"
"worshippers","11","601","6.40"
"worshipping","11","952","6.86"
"worst","5","23946","10.08"
"worsted","7","37","3.61"
"wort","4","1623","7.39"
"worth","5","81429","11.31"
"worthiest","9","4","1.39"
"worthless","9","5546","8.62"
"worthlessness","13","132","4.88"
"worthwhile","10","5520","8.62"
"worthy","6","6530","8.78"
"would","5","1278502","14.06"
"wouldbe","7","57","4.04"
"wouldn't","8","87980","11.38"
"wound","5","6139","8.72"
"wounded","7","3852","8.26"
"wounding","8","313","5.75"
"wounds","6","2743","7.92"
"wove","4","116","4.75"
"woven","5","884","6.78"
"wow","3","14332","9.57"
"wrack","5","43","3.76"
"wraith","6","3289","8.10"
"wrangle","7","99","4.60"
"wrangled","8","20","3.00"
"wrangler","8","788","6.67"
"wrap","4","5973","8.70"
"wrapped","7","6130","8.72"
"wrapper","7","1761","7.47"
"wrappers","8","814","6.70"
"wrapping","8","1681","7.43"
"wraps","5","1747","7.47"
"wrath","5","5643","8.64"
"wrathful","8","43","3.76"
"wreak","5","453","6.12"
"wreath","6","287","5.66"
"wreathe","7","9","2.20"
"wreathed","8","33","3.50"
"wreaths","7","83","4.42"
"wreck","5","2161","7.68"
"wreckage","8","452","6.11"
"wrecked","7","802","6.69"
"wrecker","7","72","4.28"
"wrecking","8","406","6.01"
"wren","4","692","6.54"
"wrench","6","1389","7.24"
"wrenched","8","168","5.12"
"wrenches","8","341","5.83"
"wrenching","9","240","5.48"
"wrest","5","150","5.01"
"wrestle","7","952","6.86"
"wrestler","8","1141","7.04"
"wrestler's","10","44","3.78"
"wrestles","8","90","4.50"
"wrestling","9","5323","8.58"
"wrestlings","10","5","1.61"
"wretch","6","153","5.03"
"wretched","8","3585","8.18"
"wretchedness","12","45","3.81"
"wriggle","7","251","5.53"
"wright","6","8275","9.02"
"Wrigley","7","383","5.95"
"wring","5","266","5.58"
"wringer","7","70","4.25"
"wrings","6","17","2.83"
"wrinkle","7","385","5.95"
"wrinkled","8","560","6.33"
"wrinkles","8","586","6.37"
"wrinkly","7","69","4.23"
"wrist","5","4355","8.38"
"wristband","9","36","3.58"
"wrists","6","2255","7.72"
"wristwatch","10","146","4.98"
"writ","4","1279","7.15"
"write","5","132648","11.80"
"writer","6","22933","10.04"
"writers","7","19496","9.88"
"writer's","8","2003","7.60"
"writes","6","565774","13.25"
"writhe","6","176","5.17"
"writhed","7","269","5.59"
"writhing","8","817","6.71"
"writing","7","73085","11.20"
"writings","8","5891","8.68"
"writs","5","216","5.38"
"written","7","103440","11.55"
"wrong","5","138848","11.84"
"wrongdoer","9","54","3.99"
"wronged","7","346","5.85"
"wrongful","8","560","6.33"
"wrongdoing","10","695","6.54"
"wrongly","7","1415","7.25"
"wrongs","6","1294","7.17"
"wrote","5","1028146","13.84"
"wrought","7","544","6.30"
"wry","3","348","5.85"
"wryly","5","117","4.76"
"Wyndham's","9","12","2.48"
"Wyoming","7","1981","7.59"
"Xavier","6","2967","8.00"
"Xavier's","8","132","4.88"
"xenon","5","253","5.53"
"xenophobia","10","323","5.78"
"xenophobic","10","344","5.84"
"xerox","5","2944","7.99"
"xylophone","9","67","4.20"
"xylophones","10","12","2.48"
"yacht","5","1006","6.91"
"yachters","8","2","0.69"
"yachting","8","90","4.50"
"yachts","6","219","5.39"
"yachtsman","9","11","2.40"
"yachtsmen","9","10","2.30"
"yahoo","5","1800","7.50"
"yak","3","764","6.64"
"yaks","4","122","4.80"
"Yale","4","4146","8.33"
"Yale's","6","79","4.37"
"Yalta","5","97","4.57"
"yam","3","577","6.36"
"yammer","6","42","3.74"
"yank","4","1559","7.35"
"yanked","6","895","6.80"
"Yankee","6","1704","7.44"
"Yankees","7","1288","7.16"
"yanking","7","376","5.93"
"yanks","5","1020","6.93"
"yap","3","642","6.46"
"yapping","7","191","5.25"
"yard","4","7418","8.91"
"yardage","7","234","5.46"
"yards","5","5654","8.64"
"yardstick","9","269","5.59"
"yarn","4","3131","8.05"
"yarns","5","328","5.79"
"yarrow","6","123","4.81"
"yawl","4","30","3.40"
"yawn","4","1333","7.20"
"yawning","7","333","5.81"
"yaws","4","16","2.77"
"ye","2","7263","8.89"
"yea","3","4245","8.35"
"yeah","4","50018","10.82"
"year","4","246566","12.42"
"yearbook","8","880","6.78"
"yearling","8","101","4.62"
"yearlong","8","16","2.77"
"yearly","6","2845","7.95"
"yearn","5","348","5.85"
"yearned","7","94","4.54"
"yearning","8","567","6.34"
"yearningly","10","7","1.95"
"yearnings","9","89","4.49"
"years","5","348898","12.76"
"year's","6","8255","9.02"
"yeast","5","6894","8.84"
"yeasts","6","385","5.95"
"yeasty","6","44","3.78"
"Yeats","5","402","6.00"
"yell","4","3322","8.11"
"yelled","6","2100","7.65"
"yeller","6","63","4.14"
"yelling","7","2918","7.98"
"yellow","6","19319","9.87"
"yellowed","8","264","5.58"
"yellowing","9","282","5.64"
"yellowish","9","255","5.54"
"yelp","4","212","5.36"
"yelped","6","174","5.16"
"yelping","7","90","4.50"
"yelps","5","77","4.34"
"Yemen","5","630","6.45"
"yen","3","3686","8.21"
"yeoman","6","199","5.29"
"yes","3","197092","12.19"
"yesterday","9","21313","9.97"
"yesterday's","11","1683","7.43"
"yet","3","159994","11.98"
"yesteryear","10","310","5.74"
"yeti","4","2772","7.93"
"Yiddish","7","768","6.64"
"yield","5","6182","8.73"
"yielded","7","918","6.82"
"yielding","8","926","6.83"
"yields","6","2699","7.90"
"yin","3","1221","7.11"
"yip","3","710","6.57"
"yippee","6","226","5.42"
"yodel","5","132","4.88"
"yodeling","8","47","3.85"
"yoga","4","1985","7.59"
"yogurt","6","1279","7.15"
"yoke","4","996","6.90"
"yokel","5","53","3.97"
"yokels","6","60","4.09"
"yolk","4","324","5.78"
"yon","3","279","5.63"
"yonder","6","291","5.67"
"Yonkers","7","323","5.78"
"yore","4","383","5.95"
"York","4","79856","11.29"
"Yorker's","8","16","2.77"
"York's","6","523","6.26"
"Yorkshire","9","1389","7.24"
"Yorktown","8","532","6.28"
"Yosemite","8","617","6.42"
"you","3","5030485","15.43"
"you'd","5","41121","10.62"
"you'll","6","88349","11.39"
"young","5","66849","11.11"
"younger","7","10673","9.28"
"youngest","8","1536","7.34"
"youngish","8","63","4.14"
"young's","7","451","6.11"
"youngster","9","508","6.23"
"youngsters","10","1043","6.95"
"youngster's","11","41","3.71"
"your","4","1711893","14.35"
"you're","6","225850","12.33"
"yours","5","32621","10.39"
"yourself","8","84061","11.34"
"yourselves","10","3506","8.16"
"youth","5","14084","9.55"
"youthful","8","828","6.72"
"youths","6","873","6.77"
"you've","6","68786","11.14"
"yowl","4","76","4.33"
"Yucatan","7","302","5.71"
"yucca","5","283","5.65"
"Yugoslav","8","3395","8.13"
"Yugoslavia","10","6875","8.84"
"Yugoslavian","11","169","5.13"
"yuletide","8","40","3.69"
"Zaire","5","561","6.33"
"Zambia","6","288","5.66"
"zany","4","288","5.66"
"zap","3","3385","8.13"
"zeal","4","700","6.55"
"Zealand","7","13848","9.54"
"zealot","6","1282","7.16"
"zealotry","8","62","4.13"
"zealous","7","367","5.91"
"zealously","9","188","5.24"
"zebra","5","915","6.82"
"zeitgeist","9","111","4.71"
"Zen","3","2901","7.97"
"zenith","6","2141","7.67"
"zephyr","6","2034","7.62"
"zeppelin","8","1526","7.33"
"zero","4","21278","9.97"
"zeroed","6","156","5.05"
"zeros","5","898","6.80"
"zest","4","288","5.66"
"zigzag","6","110","4.70"
"zigzagging","10","16","2.77"
"Zimbabwe","8","1591","7.37"
"zinc","4","1773","7.48"
"zing","4","220","5.39"
"Zion","4","931","6.84"
"zip","3","16636","9.72"
"zipped","6","1485","7.30"
"zipper","6","1245","7.13"
"zippy","5","550","6.31"
"zodiac","6","1098","7.00"
"zodiacal","8","109","4.69"
"zombie","6","4439","8.40"
"zombies","7","2588","7.86"
"zone","4","17300","9.76"
"zoned","5","186","5.23"
"zones","5","3388","8.13"
"zoning","6","819","6.71"
"zoo","3","4317","8.37"
"where'd","7","423","6.05"
"wherefore","9","199","5.29"
"wherefores","10","36","3.58"
"wherein","7","2160","7.68"
"where'll","8","5","1.61"
"whereof","7","255","5.54"
"whereon","7","19","2.94"
"where're","8","23","3.14"
"where's","7","4409","8.39"
"wheresoever","11","16","2.77"
"whereto","7","6","1.79"
"where've","8","41","3.71"
"wherever","8","6480","8.78"
"wherewith","9","49","3.89"
"whereupon","9","538","6.29"
"wherewithal","11","132","4.88"
"whet","4","128","4.85"
"whether","7","112151","11.63"
"whetstone","9","140","4.94"
"whetted","7","55","4.01"
"whey","4","263","5.57"
"which","5","980925","13.80"
"whichever","9","3305","8.10"
"whichsoever","11","0","0.00"
"whiff","5","348","5.85"
"whig","4","86","4.45"
"whigs","5","168","5.12"
"while","5","284228","12.56"
"whilst","6","4484","8.41"
"whim","4","1623","7.39"
"whimper","7","489","6.19"
"whimpering","10","432","6.07"
"whims","5","767","6.64"
"whimsey","7","25","3.22"
"whimsical","9","335","5.81"
"whimsy","6","141","4.95"
"whine","5","3757","8.23"
"whined","6","541","6.29"
"whining","7","5294","8.57"
"whinnied","8","10","2.30"
"whinny","6","37","3.61"
"whip","4","4961","8.51"
"whiplash","8","226","5.42"
"whiplashes","10","5","1.61"
"whipped","7","2097","7.65"
"whippersnapper","14","223","5.41"
"whippet","7","114","4.74"
"whipping","8","1603","7.38"
"whippoorwill","12","1373","7.22"
"whips","5","1144","7.04"
"whip's","6","14","2.64"
"whir","4","59","4.08"
"whirl","5","387","5.96"
"whirled","7","370","5.91"
"whirligig","9","17","2.83"
"whirling","8","2788","7.93"
"whirlpool","9","435","6.08"
"whirlwind","9","598","6.39"
"whirlwind's","11","1","0.00"
"whirring","8","174","5.16"
"whisk","5","300","5.70"
"whisked","7","179","5.19"
"whisker","7","93","4.53"
"whiskered","9","14","2.64"
"whiskers","8","437","6.08"
"whiskey","7","1364","7.22"
"whisking","8","55","4.01"
"whisky","6","620","6.43"
"whisper","7","1759","7.47"
"whispered","9","2772","7.93"
"whisperer","9","25","3.22"
"whispering","10","940","6.85"
"whisperings","11","18","2.89"
"whispers","8","1256","7.14"
"whistle","7","2672","7.89"
"whistled","8","283","5.65"
"whistling","9","748","6.62"
"white","5","149742","11.92"
"whitecap","8","21","3.04"
"whitehaired","11","0","0.00"
"whitehead","9","543","6.30"
"whitehead's","11","32","3.47"
"whitely","7","24","3.18"
"whiten","6","78","4.36"
"whitened","8","152","5.02"
"whiteness","9","206","5.33"
"whitening","9","2023","7.61"
"whitens","7","0","0.00"
"whites","6","6975","8.85"
"white's","7","681","6.52"
"whitetail","9","186","5.23"
"whitewash","9","195","5.27"
"whitewashed","11","168","5.12"
"whither","7","149","5.00"
"whiting","7","401","5.99"
"Whitman","7","1518","7.33"
"Whitman's","9","93","4.53"
"Whitney","7","1830","7.51"
"whittle","7","467","6.15"
"whiz","4","865","6.76"
"whizzed","7","45","3.81"
"whizzing","8","140","4.94"
"who","3","931859","13.74"
"whoa","4","2476","7.81"
"who'd","5","2412","7.79"
"whodunit","8","55","4.01"
"whoever","7","10993","9.31"
"whole","5","120697","11.70"
"wholeheartedly","14","1505","7.32"
"wholemeal","9","66","4.19"
"wholeness","9","190","5.25"
"wholes","6","63","4.14"
"wholesale","9","4518","8.42"
"wholesalers","11","556","6.32"
"wholesome","9","572","6.35"
"wholewheat","10","13","2.56"
"who'll","6","1088","6.99"
"wholly","6","3258","8.09"
"whom","4","28333","10.25"
"whomever","8","1603","7.38"
"whomsoever","10","49","3.89"
"whoop","5","292","5.68"
"whoopee","7","161","5.08"
"whooping","8","370","5.91"
"whoosh","6","205","5.32"
"whopper","7","268","5.59"
"whoppers","8","125","4.83"
"whopping","8","747","6.62"
"whore","5","2885","7.97"
"who're","6","272","5.61"
"whorehouse","10","152","5.02"
"whoremonger","11","12","2.48"
"whores","6","698","6.55"
"whorl","5","29","3.37"
"whorls","6","76","4.33"
"who's","5","23501","10.06"
"whose","5","40623","10.61"
"who've","6","2839","7.95"
"why","3","361343","12.80"
"why'd","5","228","5.43"
"why'll","6","1","0.00"
"whosoever","9","564","6.34"
"why're","6","17","2.83"
"why's","5","329","5.80"
"why've","6","1","0.00"
"Wichita","7","1242","7.12"
"wick","4","559","6.33"
"wicked","6","4211","8.35"
"wickedly","8","304","5.72"
"wickedness","10","397","5.98"
"wicker","6","380","5.94"
"wickerwork","10","27","3.30"
"wicket","6","1099","7.00"
"wickets","7","884","6.78"
"wide","4","63297","11.06"
"widely","6","13343","9.50"
"widen","5","629","6.44"
"widened","7","608","6.41"
"widens","6","118","4.77"
"wider","5","5908","8.68"
"widespread","10","5621","8.63"
"widest","6","874","6.77"
"widow","5","1887","7.54"
"widowed","7","268","5.59"
"widower","7","149","5.00"
"widowhood","9","36","3.58"
"widows","6","542","6.30"
"width","5","7473","8.92"
